,End Reason,End Period,End Clock,End Spot,Offense Wins,Offense Losses,Offense Conference Rank,Defense Wins,Defense Losses,Defense Conference Rank,Offense Home Team
0,1,2,0.0,8,12.0,2.0,5,0.0,10.0,0,1
1,1,4,250.0,29,12.0,2.0,5,0.0,10.0,0,1
2,1,1,739.0,23,8.0,5.0,10,4.0,8.0,10,0
3,1,2,53.0,25,8.0,5.0,10,4.0,8.0,10,0
4,0,2,0.0,49,5.0,7.0,5,8.0,6.0,5,0
5,1,3,697.0,10,5.0,7.0,5,8.0,6.0,5,0
6,1,1,708.0,2,8.0,5.0,5,0.0,10.0,0,1
7,1,1,126.0,12,0.0,10.0,0,8.0,5.0,5,0
8,1,3,351.0,12,0.0,10.0,0,8.0,5.0,5,0
9,0,2,332.0,23,0.0,10.0,0,11.0,3.0,10,0
10,1,3,337.0,11,0.0,10.0,0,8.0,5.0,10,0
11,0,2,5.0,8,0.0,10.0,0,3.0,9.0,5,0
12,1,4,634.0,16,3.0,9.0,5,0.0,10.0,0,1
13,0,3,246.0,21,9.0,4.0,10,0.0,10.0,0,1
14,0,4,380.0,35,9.0,4.0,10,0.0,10.0,0,1
15,1,1,162.0,18,2.0,10.0,10,0.0,10.0,0,1
16,1,2,415.0,19,2.0,10.0,10,0.0,10.0,0,1
17,1,3,540.0,19,0.0,10.0,0,2.0,10.0,10,0
18,1,4,659.0,13,2.0,10.0,10,0.0,10.0,0,1
19,1,1,668.0,19,2.0,10.0,5,7.0,6.0,10,1
20,1,1,383.0,24,7.0,6.0,10,2.0,10.0,5,0
21,1,2,14.0,14,7.0,6.0,10,2.0,10.0,5,0
22,1,3,402.0,12,2.0,10.0,5,7.0,6.0,10,1
23,1,4,523.0,5,7.0,6.0,10,0.0,10.0,0,1
24,1,1,223.0,5,5.0,7.0,5,8.0,5.0,5,1
25,1,2,59.0,18,8.0,5.0,5,5.0,7.0,5,0
26,0,2,184.0,32,6.0,7.0,10,7.0,6.0,10,0
27,1,2,20.0,12,7.0,6.0,10,6.0,7.0,10,1
28,1,3,75.0,29,7.0,6.0,10,6.0,7.0,10,1
29,0,1,530.0,32,5.0,7.0,10,9.0,4.0,10,1
30,1,2,895.0,10,9.0,4.0,10,5.0,7.0,10,0
31,1,2,347.0,24,5.0,7.0,10,9.0,4.0,10,1
32,1,3,455.0,6,9.0,4.0,10,5.0,7.0,10,0
33,1,3,222.0,25,5.0,7.0,10,9.0,4.0,10,1
34,0,1,328.0,29,10.0,3.0,5,1.0,11.0,5,1
35,0,2,0.0,26,10.0,3.0,5,1.0,11.0,5,1
36,1,2,0.0,14,4.0,8.0,5,11.0,3.0,5,1
37,0,3,462.0,13,11.0,3.0,5,4.0,8.0,5,0
38,1,4,222.0,24,11.0,3.0,5,4.0,8.0,5,0
39,1,1,24.0,17,5.0,7.0,10,0.0,10.0,0,1
40,1,2,94.0,19,5.0,7.0,10,0.0,10.0,0,1
41,1,3,494.0,11,5.0,7.0,10,0.0,10.0,0,1
42,1,3,0.0,4,0.0,10.0,0,5.0,7.0,10,0
43,1,4,316.0,8,0.0,10.0,0,5.0,7.0,10,0
44,0,1,176.0,37,2.0,10.0,5,8.0,5.0,10,0
45,1,1,372.0,25,0.0,10.0,0,5.0,7.0,10,0
46,0,1,248.0,21,4.0,8.0,5,5.0,7.0,10,0
47,1,2,76.0,16,5.0,7.0,10,4.0,8.0,5,1
48,0,3,539.0,15,5.0,7.0,10,4.0,8.0,5,1
49,1,3,24.0,2,5.0,7.0,10,4.0,8.0,5,1
50,0,4,50.0,28,4.0,8.0,5,5.0,7.0,10,0
51,1,1,313.0,6,0.0,10.0,0,10.0,3.0,5,0
52,1,2,588.0,9,9.0,4.0,10,9.0,4.0,10,1
53,0,2,373.0,22,9.0,4.0,10,9.0,4.0,10,0
54,1,4,278.0,17,9.0,4.0,10,9.0,4.0,10,0
55,0,1,556.0,20,4.0,8.0,5,0.0,10.0,0,1
56,1,4,685.0,10,4.0,8.0,5,0.0,10.0,0,1
57,1,1,583.0,37,12.0,2.0,10,7.0,6.0,10,0
58,1,1,421.0,4,12.0,2.0,10,7.0,6.0,10,0
59,1,2,857.0,16,7.0,6.0,10,12.0,2.0,10,1
60,0,2,224.0,35,12.0,2.0,10,7.0,6.0,10,0
61,1,2,0.0,17,12.0,2.0,10,7.0,6.0,10,0
62,1,4,219.0,9,12.0,2.0,10,7.0,6.0,10,0
63,1,3,183.0,8,4.0,8.0,10,0.0,10.0,0,1
64,0,2,214.0,22,9.0,5.0,5,10.0,4.0,10,1
65,0,3,317.0,27,10.0,4.0,10,9.0,5.0,5,0
66,1,4,578.0,13,7.0,7.0,5,13.0,1.0,10,0
67,1,1,505.0,36,10.0,3.0,10,6.0,5.0,0,1
68,0,1,202.0,19,6.0,5.0,0,10.0,3.0,10,0
69,1,2,857.0,3,8.0,5.0,5,0.0,10.0,0,1
70,1,2,398.0,19,0.0,10.0,0,8.0,5.0,5,0
71,1,3,222.0,8,8.0,5.0,5,0.0,10.0,0,1
72,1,1,153.0,10,3.0,9.0,10,2.0,10.0,5,1
73,1,3,582.0,9,2.0,10.0,5,3.0,9.0,10,0
74,1,3,183.0,5,2.0,10.0,5,3.0,9.0,10,0
75,1,2,219.0,18,9.0,4.0,10,0.0,10.0,0,1
76,1,2,93.0,27,9.0,4.0,10,0.0,10.0,0,1
77,1,2,0.0,23,0.0,10.0,0,9.0,4.0,10,0
78,1,3,410.0,16,9.0,4.0,10,0.0,10.0,0,1
79,1,4,6.0,11,5.0,7.0,10,1.0,11.0,5,1
80,1,2,569.0,30,8.0,5.0,10,5.0,7.0,5,1
81,1,2,3.0,26,5.0,7.0,5,8.0,5.0,10,0
82,1,3,547.0,20,8.0,5.0,10,5.0,7.0,5,1
83,1,2,896.0,3,8.0,5.0,10,0.0,10.0,0,1
84,1,3,198.0,16,8.0,5.0,10,0.0,10.0,0,1
85,1,4,896.0,7,0.0,10.0,0,8.0,5.0,10,0
86,1,4,21.0,27,0.0,10.0,0,8.0,5.0,10,0
87,1,1,229.0,30,8.0,5.0,5,4.0,8.0,10,1
88,1,3,9.0,11,8.0,5.0,5,4.0,8.0,10,1
89,1,4,408.0,32,8.0,5.0,5,4.0,8.0,10,1
90,1,3,430.0,5,0.0,10.0,0,4.0,8.0,5,0
91,0,1,764.0,31,8.0,5.0,10,0.0,10.0,0,1
92,0,1,258.0,27,8.0,5.0,10,0.0,10.0,0,1
93,0,2,213.0,29,0.0,10.0,0,8.0,5.0,10,0
94,0,2,0.0,24,8.0,5.0,10,0.0,10.0,0,1
95,1,1,318.0,33,3.0,9.0,10,13.0,0.0,5,1
96,1,2,844.0,11,13.0,0.0,5,3.0,9.0,10,0
97,1,2,588.0,26,13.0,0.0,5,3.0,9.0,10,0
98,1,2,195.0,24,13.0,0.0,5,3.0,9.0,10,0
99,1,3,457.0,36,13.0,0.0,5,3.0,9.0,10,0
100,1,2,362.0,23,7.0,6.0,10,6.0,7.0,5,1
101,1,2,55.0,22,6.0,7.0,5,7.0,6.0,10,0
102,1,3,507.0,32,6.0,7.0,5,7.0,6.0,10,0
103,1,2,119.0,9,9.0,4.0,10,6.0,7.0,5,1
104,1,2,48.0,30,9.0,4.0,10,6.0,7.0,5,1
105,1,2,0.0,22,6.0,7.0,5,9.0,4.0,10,0
106,1,2,856.0,33,10.0,4.0,10,5.0,7.0,10,1
107,0,4,757.0,20,0.0,5.0,10,0.0,10.0,0,1
108,1,2,890.0,27,9.0,4.0,10,9.0,4.0,5,1
109,1,2,267.0,26,9.0,4.0,10,9.0,4.0,5,1
110,1,2,75.0,1,9.0,4.0,5,9.0,4.0,10,0
111,1,3,503.0,27,9.0,4.0,10,9.0,4.0,5,1
112,1,4,322.0,27,9.0,4.0,10,9.0,4.0,5,1
113,1,2,5.0,2,5.0,7.0,5,3.0,9.0,5,1
114,1,3,360.0,25,3.0,9.0,5,5.0,7.0,5,0
115,1,4,414.0,25,5.0,7.0,5,3.0,9.0,5,1
116,0,1,476.0,16,0.0,10.0,0,7.0,6.0,5,0
117,1,1,621.0,33,11.0,2.0,5,4.0,8.0,5,0
118,0,2,34.0,2,11.0,2.0,5,4.0,8.0,5,0
119,1,3,648.0,11,4.0,8.0,5,11.0,2.0,5,1
120,1,4,548.0,22,11.0,2.0,5,4.0,8.0,5,0
121,1,1,633.0,19,3.0,9.0,10,9.0,4.0,10,0
122,0,2,454.0,34,3.0,9.0,10,9.0,4.0,10,0
123,1,1,474.0,11,10.0,3.0,10,0.0,10.0,0,1
124,1,1,8.0,14,10.0,3.0,10,0.0,10.0,0,1
125,1,2,771.0,8,10.0,3.0,10,0.0,10.0,0,1
126,1,2,317.0,33,10.0,3.0,10,0.0,10.0,0,1
127,1,4,308.0,37,10.0,3.0,10,0.0,10.0,0,1
128,0,2,11.0,33,0.0,10.0,0,12.0,2.0,10,0
129,0,1,129.0,14,10.0,3.0,10,0.0,12.0,10,1
130,1,2,735.0,18,0.0,12.0,10,10.0,3.0,10,0
131,1,4,868.0,24,10.0,3.0,10,0.0,12.0,10,1
132,1,2,28.0,4,11.0,2.0,10,0.0,10.0,0,1
133,1,4,0.0,14,0.0,10.0,0,11.0,2.0,10,0
134,1,2,0.0,19,9.0,4.0,10,6.0,6.0,5,1
135,0,4,238.0,25,9.0,4.0,10,6.0,6.0,5,1
136,1,4,890.0,6,0.0,10.0,0,2.0,10.0,5,0
137,0,4,554.0,23,0.0,10.0,0,2.0,10.0,5,0
138,1,4,0.0,4,0.0,10.0,0,2.0,10.0,5,0
139,0,1,730.0,25,6.0,6.0,5,0.0,10.0,0,1
140,1,1,47.0,3,0.0,10.0,0,6.0,6.0,5,0
141,0,4,210.0,27,6.0,6.0,5,0.0,10.0,0,1
142,0,3,566.0,29,8.0,5.0,10,0.0,10.0,0,1
143,1,3,649.0,8,7.0,6.0,5,6.0,6.0,5,1
144,1,1,525.0,20,6.0,6.0,5,4.0,8.0,10,0
145,0,2,790.0,15,4.0,8.0,10,6.0,6.0,5,1
146,1,3,328.0,12,6.0,6.0,5,4.0,8.0,10,0
147,1,3,14.0,8,6.0,6.0,5,4.0,8.0,10,0
148,0,4,570.0,8,4.0,8.0,10,6.0,6.0,5,1
149,1,4,72.0,20,6.0,6.0,5,4.0,8.0,10,0
150,1,2,0.0,38,0.0,10.0,0,11.0,2.0,10,0
151,0,3,497.0,30,0.0,10.0,0,11.0,2.0,10,0
152,0,4,676.0,26,11.0,2.0,10,0.0,10.0,0,1
153,0,4,382.0,30,11.0,2.0,10,0.0,10.0,0,1
154,1,2,804.0,14,7.0,6.0,5,12.0,1.0,10,0
155,1,4,789.0,23,12.0,1.0,10,7.0,6.0,5,1
156,1,2,0.0,13,8.0,5.0,5,0.0,10.0,0,1
157,1,3,590.0,25,8.0,5.0,5,0.0,10.0,0,1
158,1,3,426.0,15,8.0,5.0,5,0.0,10.0,0,1
159,1,2,0.0,14,8.0,5.0,5,0.0,10.0,0,1
160,0,4,699.0,30,8.0,5.0,5,0.0,10.0,0,1
161,1,4,51.0,3,8.0,5.0,5,0.0,10.0,0,1
162,1,2,547.0,2,12.0,1.0,10,5.0,7.0,10,0
163,0,2,275.0,29,5.0,7.0,10,12.0,1.0,10,1
164,1,1,528.0,9,9.0,4.0,10,2.0,11.0,10,0
165,1,2,0.0,4,9.0,4.0,10,2.0,11.0,10,0
166,1,3,565.0,10,9.0,4.0,10,2.0,11.0,10,0
167,0,2,70.0,24,10.0,3.0,0,9.0,4.0,10,0
168,1,2,0.0,36,9.0,4.0,10,10.0,3.0,0,1
169,1,3,326.0,16,9.0,4.0,10,10.0,3.0,0,1
170,1,2,892.0,15,7.0,6.0,10,5.0,7.0,5,1
171,1,2,2.0,8,5.0,7.0,5,7.0,6.0,10,0
172,1,2,271.0,14,4.0,8.0,5,4.0,8.0,5,0
173,1,4,820.0,17,4.0,8.0,5,4.0,8.0,5,0
174,1,3,137.0,8,7.0,6.0,5,5.0,7.0,10,0
175,1,4,606.0,6,5.0,7.0,10,7.0,6.0,5,1
176,0,1,90.0,21,5.0,7.0,10,7.0,6.0,10,1
177,1,2,593.0,3,7.0,6.0,10,5.0,7.0,10,0
178,0,2,369.0,31,7.0,6.0,10,5.0,7.0,10,0
179,1,4,397.0,7,7.0,6.0,10,5.0,7.0,10,0
180,0,1,319.0,34,5.0,7.0,10,4.0,8.0,10,0
181,0,2,74.0,38,5.0,7.0,10,4.0,8.0,10,0
182,1,3,75.0,24,4.0,8.0,10,5.0,7.0,10,1
