,Convert,Play Number,Period Number,Offense Points,Defense Points,Distance,Spot,Play Type,Drive Number,Offense Wins,Offense Losses,Offense Conference Rank,Defense Wins,Defense Losses,Defense Conference Rank
0,True,43,1,10,0,1.0,29,1,6.0,8.0,5.0,10,4.0,8.0,10
1,True,78,2,0,17,1.0,35,1,11.0,4.0,8.0,10,8.0,5.0,10
2,False,5,1,0,0,3.0,67,1,1.0,5.0,7.0,5,8.0,6.0,5
3,True,80,2,14,14,1.0,37,1,12.0,8.0,6.0,5,5.0,7.0,5
4,False,82,2,10,3,1.0,19,1,9.0,8.0,5.0,5,0.0,10.0,0
5,False,177,4,31,12,5.0,31,1,21.0,8.0,5.0,5,0.0,10.0,0
6,True,111,3,26,0,1.0,12,1,15.0,11.0,3.0,10,0.0,10.0,0
7,True,124,3,33,0,1.0,42,1,17.0,11.0,3.0,10,0.0,10.0,0
8,True,96,2,0,28,4.0,41,1,13.0,0.0,10.0,0,3.0,9.0,5
9,True,12,1,0,0,1.0,50,1,2.0,9.0,4.0,10,0.0,10.0,0
10,False,59,2,21,0,1.0,40,1,10.0,9.0,4.0,10,0.0,10.0,0
11,True,160,4,44,17,8.0,41,1,23.0,2.0,10.0,10,0.0,10.0,0
12,True,98,3,10,27,1.0,59,1,15.0,2.0,10.0,5,7.0,6.0,10
13,False,161,4,13,34,1.0,57,1,23.0,2.0,10.0,5,7.0,6.0,10
14,False,168,4,34,13,3.0,23,1,24.0,7.0,6.0,10,2.0,10.0,5
15,True,8,1,0,0,6.0,30,1,1.0,7.0,6.0,10,0.0,10.0,0
16,True,150,4,45,7,3.0,42,1,22.0,7.0,6.0,10,0.0,10.0,0
17,False,71,2,14,3,15.0,55,1,10.0,8.0,5.0,5,5.0,7.0,5
18,False,78,2,3,14,3.0,3,1,11.0,5.0,7.0,5,8.0,5.0,5
19,False,132,3,3,24,1.0,1,1,20.0,5.0,7.0,5,8.0,5.0,5
20,True,36,1,0,0,1.0,37,1,7.0,7.0,6.0,10,6.0,7.0,10
21,True,54,2,0,0,1.0,63,1,9.0,7.0,6.0,10,6.0,7.0,10
22,True,89,3,3,0,1.0,1,1,16.0,7.0,6.0,10,6.0,7.0,10
23,True,46,2,0,3,1.0,12,1,7.0,5.0,7.0,10,9.0,4.0,10
