Team,Wins,Losses
Mississippi,3,9
Michigan State,7,6
Kent State,3,9
Minnesota,1,11
Illinois,9,4
William + Mary,4,7
Colorado College,4,6
Toledo,5,7
UTEP,4,8
Miami (Ohio),6,7
San Jose State,5,7
Clemson,9,4
Bucknell,3,8
Central Michigan,8,6
Brown,5,5
San Diego State,4,8
Columbia,1,9
Tulsa,10,4
Kansas,12,1
Florida State,0,6
Connecticut,9,4
Harvard,8,2
Utah State,2,10
West Virginia,11,2
UAB,2,10
SMU,1,11
West Texas A+M,12,1
Wyoming,5,7
Tulane,4,8
BYU,11,2
Drake,6,5
South Carolina,6,6
Missouri,12,2
Louisiana-Monroe,6,6
Montana State,6,5
Cincinnati,10,3
Wake Forest,9,4
Florida Atlantic,8,5
VMI,2,9
Air Force,9,4
Grinnell,1,9
Troy,8,4
South Florida,9,4
Villanova,7,4
The Citadel,7,4
Army,3,9
Washington,4,9
Dartmouth,3,7
Indiana,7,6
Maryland,6,7
Colorado Mines,7,5
Boston College,11,3
Arizona,5,7
Iowa,6,6
Texas State,4,7
Pittsburgh,5,7
Michigan,9,4
Purdue,8,5
Colorado State,3,9
Middle Tennessee,5,7
Oregon,9,4
LSU,12,2
UMass,10,3
Arkansas State,5,7
East Carolina,8,5
Syracuse,2,10
Northwestern,6,6
Southern Mississippi,7,6
Florida,9,4
Baylor,3,9
Ohio,6,6
Buffalo,5,7
Iowa State,3,9
Duquesne,6,4
Virginia,9,4
Dayton,11,1
Northern Illinois,2,10
North Carolina,4,8
Washington + Lee,6,3
Georgia Tech,7,6
Navy,8,5
Virginia Tech,11,3
TCU,8,5
Cornell,5,5
Oklahoma,11,3
Vanderbilt,5,7
Richmond,11,3
Louisville,6,6
Arkansas,8,5
New Mexico,9,4
Stanford,4,8
Washington State,5,7
Carnegie Tech,7,4
Temple,4,8
Davidson,6,4
Oklahoma State,7,6
Miami (Florida),5,7
Centre,6,4
Western Kentucky,7,5
Sewanee,1,8
Oregon State,9,4
California,7,6
Akron,4,8
Memphis,7,6
Georgia,11,2
Princeton,4,6
Pennsylvania,4,6
Rutgers,8,5
Western Michigan,5,7
Ball State,7,6
UNLV,2,10
Notre Dame,3,9
Duke,1,11
Colorado,6,7
Mississippi State,8,5
Marshall,3,9
Bowling Green,8,5
UCLA,6,7
Auburn,9,4
Eastern Michigan,4,8
Texas A&M,7,6
Texas,10,3
North Texas,2,10
Nevada,6,7
Boise State,10,3
Colgate,7,4
North Carolina State,5,7
USC,11,2
Washington + Jefferson,10,1
Chicago,4,5
Hardin-Simmons,6,4
Idaho,1,11
Hawai'i,12,1
Rice,3,9
Utah,9,4
Louisiana Tech,5,7
Arizona State,10,3
Western State,1,10
UCF,10,4
Furman,6,5
Ohio State,11,2
Louisiana-Lafayette,3,9
Florida International,1,11
Georgetown,1,10
Georgia Southern,7,4
Northern Colorado,1,11
Kentucky,8,5
Penn State,9,4
Nebraska,5,7
Lafayette,7,4
Yale,9,1
New Mexico State,4,9
Wisconsin,9,4
Alabama,2,6
Holy Cross,7,4
Houston,8,5
Fresno State,9,4
Fordham,8,4
Washington-Missouri,7,3
Kansas State,5,7
Tennessee,10,4
Montana,11,1
Texas Tech,9,4
