Team Code,Name,Conference Code,Year,Wins
5,Akron,875,2005,7
8,Alabama,911,2005,0
9,UAB,24312,2005,5
28,Arizona State,905,2005,7
29,Arizona,905,2005,3
30,Arkansas State,818,2005,6
31,Arkansas,911,2005,4
37,Auburn,911,2005,9
47,Ball State,875,2005,4
51,Baylor,25354,2005,5
66,Boise State,923,2005,9
67,Boston College,821,2005,9
71,Bowling Green,875,2005,6
77,BYU,5486,2005,6
86,Buffalo,875,2005,1
96,Fresno State,923,2005,8
107,California,905,2005,8
110,UCLA,905,2005,10
128,UCF,24312,2005,8
129,Central Michigan,875,2005,6
140,Cincinnati,823,2005,4
147,Clemson,821,2005,8
156,Colorado State,5486,2005,6
157,Colorado,25354,2005,7
164,Connecticut,823,2005,5
193,Duke,821,2005,1
196,East Carolina,24312,2005,5
204,Eastern Michigan,875,2005,4
229,Florida Atlantic,818,2005,2
231,Florida International,818,2005,5
234,Florida State,821,2005,8
235,Florida,911,2005,9
255,Georgia Tech,821,2005,7
257,Georgia,911,2005,10
277,Hawai'i,923,2005,5
288,Houston,24312,2005,6
295,Idaho,923,2005,2
301,Illinois,827,2005,2
306,Indiana,827,2005,4
311,Iowa State,25354,2005,7
312,Iowa,827,2005,7
327,Kansas State,25354,2005,5
328,Kansas,25354,2005,7
331,Kent State,875,2005,1
334,Kentucky,911,2005,3
365,LSU,911,2005,11
366,Louisiana Tech,923,2005,7
367,Louisville,823,2005,9
388,Marshall,24312,2005,4
392,Maryland,821,2005,5
404,Memphis,24312,2005,7
414,Miami (Ohio),875,2005,7
415,Miami (Florida),821,2005,9
416,Michigan State,827,2005,5
418,Michigan,827,2005,7
419,Middle Tennessee,818,2005,4
428,Minnesota,827,2005,7
430,Mississippi State,911,2005,3
433,Mississippi,911,2005,3
434,Missouri,25354,2005,7
457,North Carolina,821,2005,5
463,Nebraska,25354,2005,8
465,UNLV,5486,2005,2
466,Nevada,923,2005,9
472,New Mexico State,923,2005,0
473,New Mexico,5486,2005,6
490,North Carolina State,821,2005,7
497,North Texas,818,2005,2
498,Louisiana-Monroe,818,2005,5
503,Northern Illinois,875,2005,7
509,Northwestern,827,2005,7
513,Notre Dame,99001,2005,9
518,Ohio State,827,2005,10
519,Ohio,875,2005,4
521,Oklahoma State,25354,2005,4
522,Oklahoma,25354,2005,8
528,Oregon State,905,2005,5
529,Oregon,905,2005,10
539,Penn State,827,2005,11
545,Pittsburgh,823,2005,5
559,Purdue,827,2005,5
574,Rice,24312,2005,1
587,Rutgers,823,2005,7
626,San Diego State,5486,2005,5
630,San Jose State,923,2005,3
648,South Carolina,911,2005,7
651,South Florida,823,2005,6
657,USC,905,2005,0
663,SMU,24312,2005,5
664,Southern Mississippi,24312,2005,7
671,Louisiana-Lafayette,818,2005,6
674,Stanford,905,2005,5
688,Syracuse,823,2005,1
690,Temple,99001,2005,0
694,Tennessee,911,2005,5
697,Texas A&M,25354,2005,5
698,TCU,5486,2005,11
700,Texas Tech,25354,2005,9
703,Texas,25354,2005,13
704,UTEP,24312,2005,8
709,Toledo,875,2005,9
716,Troy,818,2005,4
718,Tulane,24312,2005,2
719,Tulsa,24312,2005,9
721,Air Force,5486,2005,4
725,Army,99001,2005,4
726,Navy,99001,2005,8
731,Utah State,923,2005,3
732,Utah,5486,2005,7
736,Vanderbilt,911,2005,5
742,Virginia Tech,821,2005,11
746,Virginia,821,2005,7
749,Wake Forest,821,2005,4
754,Washington State,905,2005,4
756,Washington,905,2005,2
768,West Virginia,823,2005,11
774,Western Michigan,875,2005,7
796,Wisconsin,827,2005,10
811,Wyoming,5486,2005,4
6,Alabama A&M,916,2005,#N/A
7,Alabama St.,916,2005,#N/A
14,Albany (N.Y.),846,2005,#N/A
17,Alcorn St.,916,2005,#N/A
27,Appalachian State,912,2005,#N/A
43,Austin Peay,21451,2005,#N/A
48,Charleston So.,826,2005,#N/A
61,Bethune-Cookman,876,2005,#N/A
80,Brown,865,2005,9
83,Bucknell,838,2005,1
87,Butler,21451,2005,#N/A
90,Cal Poly,99005,2005,#N/A
102,Sacramento State,825,2005,#N/A
108,UC Davis,99005,2005,#N/A
127,Central Conn. St.,846,2005,#N/A
141,Citadel,912,2005,#N/A
149,Coastal Carolina,826,2005,#N/A
153,Colgate,838,2005,8
158,Columbia,865,2005,2
167,Cornell,865,2005,6
172,Dartmouth,865,2005,2
173,Davidson,21451,2005,4
175,Dayton,21451,2005,9
178,Delaware State,876,2005,#N/A
180,Delaware,820,2005,#N/A
189,Drake,21451,2005,6
194,Duquesne,871,2005,7
201,Eastern Illinois,902,2005,#N/A
202,Eastern Kentucky,902,2005,#N/A
207,Eastern Washington,825,2005,#N/A
228,Florida A&M,876,2005,#N/A
236,Fordham,838,2005,2
244,Furman,912,2005,9
251,Georgetown,838,2005,4
253,Georgia Southern,912,2005,#N/A
261,Grambling,916,2005,#N/A
270,Hampton,876,2005,#N/A
275,Harvard,865,2005,7
283,Hofstra,820,2005,#N/A
285,Holy Cross,838,2005,6
290,Howard,876,2005,#N/A
294,Idaho State,825,2005,#N/A
299,Illinois State,853,2005,#N/A
305,Indiana State,853,2005,#N/A
310,Iona,871,2005,#N/A
314,Jackson State,916,2005,#N/A
315,Jacksonville State,902,2005,#N/A
316,Jacksonville,21451,2005,#N/A
317,James Madison,820,2005,#N/A
340,La Salle,871,2005,#N/A
342,Lafayette,838,2005,8
352,Lehigh,838,2005,#N/A
355,Liberty,826,2005,#N/A
380,Maine,820,2005,#N/A
386,Marist,871,2005,#N/A
400,Massachusetts,820,2005,#N/A
402,McNeese State,914,2005,#N/A
432,Mississippi Valley State,916,2005,#N/A
439,Monmouth,846,2005,#N/A
440,Montana State,825,2005,7
441,Montana,825,2005,8
444,Morehead State,21451,2005,#N/A
446,Morgan State,876,2005,#N/A
454,Murray State,902,2005,#N/A
469,New Hampshire,820,2005,#N/A
483,Nicholls State,914,2005,#N/A
485,Norfolk State,876,2005,#N/A
488,North Carolina A&T,876,2005,#N/A
493,North Dakota State,99005,2005,#N/A
500,Northeastern,820,2005,#N/A
501,Northern Arizona,825,2005,#N/A
502,Northern Colorado,99005,2005,4
504,Northern Iowa,853,2005,#N/A
508,Northwestern State,914,2005,#N/A
540,Pennsylvania,865,2005,5
550,Portland State,825,2005,#N/A
553,Prairie View,916,2005,#N/A
554,Princeton,865,2005,7
572,Rhode Island,820,2005,#N/A
575,Richmond,820,2005,8
579,Robert Morris,846,2005,#N/A
590,Sacred Heart,846,2005,#N/A
600,St. Francis (Pa.),846,2005,#N/A
617,St. Peter's,871,2005,#N/A
624,Sam Houston State,914,2005,#N/A
625,Samford,902,2005,#N/A
627,San Diego,21451,2005,#N/A
632,Savannah State,99005,2005,#N/A
647,South Carolina State,876,2005,#N/A
649,South Dakota State,99005,2005,#N/A
654,Southeast Missouri State,902,2005,#N/A
655,Southeastern Louisiana,914,2005,#N/A
659,Southern Illinois,853,2005,#N/A
665,Southern University,916,2005,#N/A
667,Southern Utah,99005,2005,#N/A
669,Missouri State,853,2005,#N/A
670,Texas State,914,2005,11
676,Stephen F. Austin,914,2005,#N/A
683,Stony Brook,846,2005,#N/A
691,Tennessee State,902,2005,#N/A
692,Tennessee Tech,902,2005,#N/A
693,Chattanooga,912,2005,#N/A
695,Tennessee-Martin,902,2005,#N/A
699,Texas Southern,916,2005,#N/A
711,Towson,820,2005,#N/A
735,Valparaiso,21451,2005,#N/A
739,Villanova,820,2005,4
741,Virginia Military,826,2005,#N/A
748,Wagner,846,2005,#N/A
758,Weber State,825,2005,#N/A
769,Western Carolina,912,2005,#N/A
771,Western Illinois,853,2005,#N/A
772,Western Kentucky,853,2005,#N/A
786,William & Mary,820,2005,#N/A
813,Yale,865,2005,4
817,Youngstown State,853,2005,#N/A
1068,Elon,912,2005,#N/A
1092,Gardner-Webb,826,2005,#N/A
2678,Ark.-Pine Bluff,916,2005,#N/A
2915,Wofford,912,2005,#N/A
