Team Code,Name,Conference Code,Year,Wins,Losses
5,Akron,875,2011,1,11
8,Alabama,911,2011,12,1
9,UAB,24312,2011,3,9
28,Arizona State,905,2011,6,7
29,Arizona,905,2011,4,8
30,Arkansas State,818,2011,10,3
31,Arkansas,911,2011,11,2
37,Auburn,911,2011,8,5
47,Ball State,875,2011,6,6
51,Baylor,25354,2011,10,3
66,Boise State,5486,2011,12,1
67,Boston College,821,2011,4,8
71,Bowling Green,875,2011,5,7
77,BYU,99001,2011,10,3
86,Buffalo,875,2011,3,9
96,Fresno State,923,2011,4,9
107,California,905,2011,7,6
110,UCLA,905,2011,6,8
128,UCF,24312,2011,5,7
129,Central Michigan,875,2011,3,9
140,Cincinnati,823,2011,10,3
147,Clemson,821,2011,10,4
156,Colorado State,5486,2011,3,9
157,Colorado,905,2011,3,10
164,Connecticut,823,2011,5,7
193,Duke,821,2011,3,9
196,East Carolina,24312,2011,5,7
204,Eastern Michigan,875,2011,6,6
229,Florida Atlantic,818,2011,1,11
231,Florida International,818,2011,8,5
234,Florida State,821,2011,9,4
235,Florida,911,2011,7,6
255,Georgia Tech,821,2011,8,5
257,Georgia,911,2011,10,4
277,Hawai'i,923,2011,6,7
288,Houston,24312,2011,13,1
295,Idaho,923,2011,2,10
301,Illinois,827,2011,7,6
306,Indiana,827,2011,1,11
311,Iowa State,25354,2011,6,7
312,Iowa,827,2011,7,6
327,Kansas State,25354,2011,10,3
328,Kansas,25354,2011,2,10
331,Kent State,875,2011,5,7
334,Kentucky,911,2011,5,7
365,LSU,911,2011,13,1
366,Louisiana Tech,923,2011,8,5
367,Louisville,823,2011,7,6
388,Marshall,24312,2011,7,6
392,Maryland,821,2011,2,10
404,Memphis,24312,2011,2,10
414,Miami (Ohio),875,2011,4,8
415,Miami (Florida),821,2011,6,6
416,Michigan State,827,2011,11,3
418,Michigan,827,2011,11,2
419,Middle Tennessee,818,2011,2,10
428,Minnesota,827,2011,3,9
430,Mississippi State,911,2011,7,6
433,Mississippi,911,2011,2,10
434,Missouri,25354,2011,8,5
457,North Carolina,821,2011,7,6
463,Nebraska,827,2011,9,4
465,UNLV,5486,2011,2,10
466,Nevada,923,2011,7,6
472,New Mexico State,923,2011,4,9
473,New Mexico,5486,2011,1,11
490,North Carolina State,821,2011,8,5
497,North Texas,818,2011,5,7
498,Louisiana-Monroe,818,2011,4,8
503,Northern Illinois,875,2011,11,3
509,Northwestern,827,2011,6,7
513,Notre Dame,99001,2011,8,5
518,Ohio State,827,2011,6,7
519,Ohio,875,2011,10,4
521,Oklahoma State,25354,2011,12,1
522,Oklahoma,25354,2011,10,3
528,Oregon State,905,2011,3,9
529,Oregon,905,2011,12,2
539,Penn State,827,2011,9,4
545,Pittsburgh,823,2011,6,7
559,Purdue,827,2011,7,6
574,Rice,24312,2011,4,8
587,Rutgers,823,2011,9,4
626,San Diego State,5486,2011,8,5
630,San Jose State,923,2011,5,7
648,South Carolina,911,2011,11,2
651,South Florida,823,2011,5,7
657,USC,905,2011,10,2
663,SMU,24312,2011,8,5
664,Southern Mississippi,24312,2011,12,2
671,Louisiana-Lafayette,818,2011,9,4
674,Stanford,905,2011,11,2
688,Syracuse,823,2011,5,7
