Team Code,Name,Conference Code,Year
5,Akron,875,2013
8,Alabama,911,2013
9,UAB,24312,2013
28,Arizona State,905,2013
29,Arizona,905,2013
30,Arkansas State,818,2013
31,Arkansas,911,2013
37,Auburn,911,2013
47,Ball State,875,2013
51,Baylor,25354,2013
66,Boise State,5486,2013
67,Boston College,821,2013
71,Bowling Green,875,2013
77,BYU,99001,2013
86,Buffalo,875,2013
96,Fresno State,5486,2013
107,California,905,2013
110,UCLA,905,2013
128,UCF,823,2013
129,Central Michigan,875,2013
140,Cincinnati,823,2013
147,Clemson,821,2013
156,Colorado State,5486,2013
157,Colorado,905,2013
164,Connecticut,823,2013
193,Duke,821,2013
196,East Carolina,24312,2013
204,Eastern Michigan,875,2013
229,Florida Atlantic,24312,2013
231,Florida International,24312,2013
234,Florida State,821,2013
235,Florida,911,2013
254,Georgia State,818,2013
255,Georgia Tech,821,2013
257,Georgia,911,2013
277,Hawai'i,5486,2013
288,Houston,823,2013
295,Idaho,99001,2013
301,Illinois,827,2013
306,Indiana,827,2013
311,Iowa State,25354,2013
312,Iowa,827,2013
327,Kansas State,25354,2013
328,Kansas,25354,2013
331,Kent State,875,2013
334,Kentucky,911,2013
365,LSU,911,2013
366,Louisiana Tech,24312,2013
367,Louisville,823,2013
388,Marshall,24312,2013
392,Maryland,821,2013
400,Massachusetts,875,2013
404,Memphis,823,2013
414,Miami (Ohio),875,2013
415,Miami (Florida),821,2013
416,Michigan State,827,2013
418,Michigan,827,2013
419,Middle Tennessee,24312,2013
428,Minnesota,827,2013
430,Mississippi State,911,2013
433,Mississippi,911,2013
434,Missouri,911,2013
457,North Carolina,821,2013
463,Nebraska,827,2013
465,UNLV,5486,2013
466,Nevada,5486,2013
472,New Mexico State,99001,2013
473,New Mexico,5486,2013
490,North Carolina State,821,2013
497,North Texas,24312,2013
498,Louisiana-Monroe,818,2013
503,Northern Illinois,875,2013
509,Northwestern,827,2013
513,Notre Dame,99001,2013
518,Ohio State,827,2013
519,Ohio,875,2013
521,Oklahoma State,25354,2013
522,Oklahoma,25354,2013
528,Oregon State,905,2013
529,Oregon,905,2013
539,Penn State,827,2013
545,Pittsburgh,821,2013
559,Purdue,827,2013
574,Rice,24312,2013
587,Rutgers,823,2013
626,San Diego State,5486,2013
